Name,Nationality,Overall,Position,Club
J. Lingard,England,74,CAM,FC Seoul
K. Lewis-Potter,England,76,LB,Brentford
E. Višća,Bosnia and Herzegovina,78,RM,Trabzonspor
Stephen Eustáquio,Canada,77,CDM,FC Porto
D. de Wit,Netherlands,72,CAM,FC Utrecht
A. Gouiri,Algeria,79,ST,Olympique de Marseille
E. Valeri,Italy,75,LB,Parma
C. Uche,Nigeria,76,ST,Crystal Palace
S. Bergwijn,Netherlands,80,LM,Al Ittihad
V. Verre,Italy,73,CM,Palermo FC
A. Diouf,France,75,CM,Inter
S. Gnabry,Germany,82,LM,FC Bayern München
Elias Fontoira,Brazil,74,CDM,Internacional
S. Schwab,Austria,73,CM,Holstein Kiel
Rubén Alcaraz,Spain,71,CM,Granada CF
S. Arzamendia,Paraguay,73,LB,Estudiantes de La Plata
R. Lukaku,Belgium,84,ST,Napoli
J. Ryerson,Norway,79,RB,Borussia Dortmund
Rafael Leão,Portugal,84,LW,AC Milan
N. Dorsch,Germany,74,CDM,1. FC Heidenheim 1846
A. Young,England,73,RB,Ipswich Town
Guilherme,Qatar,77,CDM,
M. Cash,Poland,79,RB,Aston Villa
B. Chilwell,England,77,LB,RC Strasbourg Alsace
Rodrygo,Brazil,85,RW,Real Madrid
Vanderson,Brazil,77,RB,AS Monaco
A. Christiansen,Denmark,72,CAM,Malmö FF
A. Prass,Austria,74,LB,TSG 1899 Hoffenheim
K. Tierney,Scotland,77,LB,Celtic
Francisco Moura,Portugal,78,LB,FC Porto
Q. Merlin,France,76,LB,Stade Rennais FC
D. Blind,Netherlands,77,CB,Girona FC
L. McCowan,Scotland,73,CM,Celtic
M. Rits,Belgium,72,CM,RSC Anderlecht
A. Koita,Mauritania,75,LM,AEK Athens
J. Veerman,Netherlands,79,CM,PSV
A. Lookman,Nigeria,84,ST,Atalanta
Éder Militão,Brazil,84,CB,Real Madrid
F. Fabra,Colombia,73,LB,Boca Juniors
Kaku,Paraguay,79,CAM,Al Ain
M. Pereira Lage,Portugal,75,LW,FC St. Pauli
F. Ranocchia,Italy,72,CM,Palermo FC
Sergi Roberto,Spain,77,CDM,Como
A. Rüdiger,Germany,86,CB,Real Madrid
D. van de Beek,Netherlands,76,CAM,Girona FC
R. Baba,Ghana,76,LB,PAOK
G. Simeone,Argentina,81,RM,Atlético Madrid
P. Ševčík,Czech Republic,74,CM,SK Slavia Praha
J. Svensson,Norway,75,RB,Beşiktaş JK
S. Ricci,Italy,78,CDM,AC Milan
D. McNeil,England,78,LM,Everton
H. Traoré,Mali,79,RB,Paris FC
Iván Martín,Spain,77,CM,Girona FC
I. Fernández,Argentina,75,CM,River Plate
Z. Nagy,Hungary,73,LM,
M. Luna Diale,Argentina,72,CM,Platense
M. Pessina,Italy,76,CM,Monza
L. Bergvall,Sweden,77,CM,Tottenham Hotspur
K. Lala,France,76,RB,Stade Brestois 29
Puado,Spain,78,ST,RCD Espanyol
M. Zaracho,Argentina,75,CM,Racing Club
G. Brugman,Uruguay,73,CM,Nashville SC
H. Hajradinović,Bosnia and Herzegovina,76,CM,Kasımpaşa SK
R. Delgado,Argentina,71,LB,Defensa y Justicia
Medrán,Spain,77,CM,Al Ettifaq
H. Ziyech,Morocco,78,RM,
A. Bastoni,Italy,87,CB,Inter
P. van Aanholt,Netherlands,72,LB,Sparta Rotterdam
W. Singo,Ivory Coast,80,CB,Galatasaray SK
M. Muheim,Switzerland,75,LB,Hamburger SV
E. Diouf,Senegal,75,LB,West Ham United
H. Nicolussi Caviglia,Italy,75,CDM,Fiorentina
E. Salvio,Argentina,76,RM,Lanús
H. Vetlesen,Norway,71,CDM,Club Brugge KV
J. Irvine,Australia,75,CM,FC St. Pauli
M. Baturina,Croatia,78,CAM,Como
Diogo Gonçalves,Portugal,74,LM,Real Salt Lake
W. Ndidi,Nigeria,76,CDM,Beşiktaş JK
R. Alvarado,Mexico,78,RM,
N. Zaniolo,Italy,76,RM,Udinese
C. Nørgaard,Denmark,80,CDM,Arsenal
Miguel Crespo,Portugal,73,CM,Medipol Başakşehir FK
A. Lacazette,France,79,ST,NEOM SC
M. Vrousai,Greece,72,RB,Rio Ave FC
V. Grifo,Italy,80,LM,SC Freiburg
Morales,Spain,74,ST,Levante UD
R. Mandragora,Italy,77,CM,Fiorentina
A. Wharton,England,79,CDM,Crystal Palace
Fran Beltrán,Spain,78,CM,RC Celta
R. Ortiz,Paraguay,70,CDM,Club Olimpia
A. Sánchez,Chile,76,ST,Sevilla FC
I. Ilić,Serbia,76,CM,Torino
L. Openda,Belgium,83,ST,Juventus
E. Bardhi,North Macedonia,74,CAM,Konyaspor
M. Salas,Argentina,76,ST,River Plate
Caio Henrique,Brazil,77,LB,AS Monaco
N. Capaldo,Argentina,73,CM,Hamburger SV
M. Greenwood,England,82,RM,Olympique de Marseille
F. Parisi,Italy,75,LB,Fiorentina
F. Thauvin,France,76,ST,RC Lens
C. Tzolis,Greece,80,LM,Club Brugge KV
S. Montiel,Argentina,75,LM,Independiente
C. Günter,Germany,77,LB,SC Freiburg
V. Brazhko,Ukraine,75,CDM,Dynamo Kyiv
K. Adeyemi,Germany,81,RM,Borussia Dortmund
A. Saelemaekers,Belgium,79,RM,AC Milan
T. Delaney,Denmark,75,CDM,FC København
L. Dendoncker,Belgium,75,CM,Real Oviedo
M. Lopez,France,76,CM,Paris FC
T. Adams,United States,79,CDM,AFC Bournemouth
L. Castro,Argentina,72,CAM,Gimnasia y Esgrima La Plata
F. Chaïbi,Algeria,74,CAM,Eintracht Frankfurt
Emilio Piodão,Brazil,75,CDM,Grêmio
İ. Yüksek,Turkey,77,CDM,Fenerbahçe SK
T. Cognat,France,75,CM,Servette FC
L. Morgan,Scotland,73,ST,New York Red Bulls
N. Aké,Netherlands,83,CB,Manchester City
M. Lazzari,Italy,78,RB,Lazio
M. Diomande,Ivory Coast,74,CDM,Rangers FC
Alberto Moreno,Spain,75,LB,Como
Enzo Chissano,Brazil,77,LB,Palmeiras
Geny Catamo,Mozambique,78,RM,Sporting CP
D. Svensson,Sweden,77,LB,Borussia Dortmund
S. Sohm,Switzerland,74,CM,Fiorentina
K. Ayhan,Turkey,76,RB,Galatasaray SK
L. Zelarayán,Armenia,79,CAM,Belgrano de Córdoba
D. Wass,Denmark,71,CM,Brøndby IF
M. Jensen,Denmark,77,CM,Brentford
Manu Morlanes,Spain,77,CM,RCD Mallorca
Beñat Prados,Spain,78,CDM,Athletic Club
A. Tameze,France,74,CDM,Torino
C. Vanhoutte,Belgium,77,CDM,OGC Nice
Nailton Suzuki,Brazil,81,CAM,Atlético Mineiro
Q. Hartman,Netherlands,77,LB,Burnley
Isi,Spain,81,CAM,Rayo Vallecano
Dani Rodríguez,Spain,76,CAM,RCD Mallorca
O. Selnæs,Norway,72,CM,Rosenborg BK
S. Mijnans,Netherlands,75,CAM,AZ Alkmaar
N. Fernández,Argentina,75,RM,New York City FC
N. Madueke,England,80,RW,Arsenal
B. Zuculini,Argentina,72,CM,Racing Club
Chow Tim,Taiwan,72,CM,Chengdu Rongcheng
M. Elyounoussi,Norway,76,RM,FC København
L. Martínez Quarta,Argentina,77,CB,River Plate
Lincoln,Brazil,73,CAM,Alverca
Fermín,Spain,80,CAM,FC Barcelona
Rafa,Portugal,82,CAM,Beşiktaş JK
V. Janssen,Netherlands,77,ST,Royal Antwerp FC
Óscar Sielva,Spain,72,CM,SD Huesca
M. Abu Fani,Israel,75,CM,Ferencvárosi Torna Club
M. Kjaergaard,Denmark,73,CM,FC Red Bull Salzburg
J. Hinshelwood,England,75,CDM,Brighton & Hove Albion
Diego Essler,Brazil,79,LB,Atlético Mineiro
N. Tagliafico,Argentina,78,LB,Olympique Lyonnais
N. Kühn,Germany,78,RW,Como
A. El Kaabi,Morocco,80,ST,Olympiacos FC
Ó. Trejo,Argentina,71,CAM,Rayo Vallecano
G. Prömel,Germany,75,CM,TSG 1899 Hoffenheim
J. Gallardo,Mexico,75,LB,
H. Abdelli,Algeria,76,CAM,Angers SCO
Sidney Pessinho,Brazil,77,CDM,Internacional
J. Burkardt,Germany,82,ST,Eintracht Frankfurt
O. Kiteishvili,Georgia,75,CAM,SK Sturm Graz
C. Operi,Ivory Coast,74,LB,Medipol Başakşehir FK
D. Nagbe,United States,75,CM,Columbus Crew
C. Cásseres Jr,Venezuela,74,CDM,Toulouse FC
M. Ugarte,Uruguay,79,CDM,Manchester United
G. Carey,Republic of Ireland,68,CM,Livingston FC
O. Etebo,Nigeria,71,CDM,Gençlerbirliği SK
Edercinho Sepa,Brazil,74,CDM,Botafogo
Pep Chavarría,Spain,77,LB,Rayo Vallecano
A. Semenyo,Ghana,80,RM,AFC Bournemouth
G. Neves,Uruguay,75,CDM,Estudiantes de La Plata
T. Kubo,Japan,82,RM,Real Sociedad
A. Güler,Turkey,81,RM,Real Madrid
H. Hateboer,Netherlands,76,CB,Stade Rennais FC
H. Haraldsson,Iceland,78,CAM,Lille OSC
B. Barcola,France,84,LW,Paris Saint-Germain
K. Acosta,United States,71,CDM,Chicago Fire
M. Ruiz,Mexico,75,CM,
R. Barkley,England,77,CM,Aston Villa
R. Gauld,Scotland,78,LW,Vancouver Whitecaps FC
W. Endo,Japan,79,CDM,Liverpool
Igor Paixão,Brazil,80,LM,Olympique de Marseille
Rômulo,Brazil,75,RW,Chengdu Rongcheng
J. Schlupp,Ghana,73,LB,Norwich City
M. Anderson,Iceland,71,CM,Djurgårdens IF
Claudiano Sobrino,Brazil,74,CDM,Botafogo
David Simão,Portugal,73,CM,FC Arouca
P. Díaz,Chile,76,CB,River Plate
J. Ito,Japan,77,RM,KRC Genk
D. Türüç,Turkey,73,RM,Medipol Başakşehir FK
V. Malcorra,Argentina,76,CAM,Rosario Central
João Mário,Portugal,77,RB,Juventus
P. Billing,Denmark,75,CM,FC Midtjylland
E. Konsa,England,82,CB,Aston Villa
A. Palumbo,Italy,74,CAM,Palermo FC
Abel Bretones,Spain,75,LB,CA Osasuna
Enzo Merques,Brazil,73,LB,Internacional
C. Gomes,France,73,CDM,Palermo FC
M. Aebischer,Switzerland,74,CM,Pisa
Kirian,Spain,76,CM,UD Las Palmas
S. Amallah,Morocco,72,CAM,
L. Davis,England,76,LB,Ipswich Town
O. Lingr,Czech Republic,72,LM,Houston Dynamo
K. Stöger,Austria,76,CAM,Borussia Mönchengladbach
L. Barreiro,Luxembourg,77,CM,SL Benfica
G. Mikautadze,Georgia,77,ST,Villarreal CF
S. Gustafson,Sweden,72,CM,BK Häcken
M. Diaby,France,84,RM,Al Ittihad
J. Bell,New Zealand,74,CDM,Viking FK
M. Rashford,England,80,LM,FC Barcelona
S. Bendebka,Algeria,72,CDM,Al Fateh
N. Pépé,Ivory Coast,80,RM,Villarreal CF
F. Neuhaus,Germany,75,CM,Borussia Mönchengladbach
M. Sadílek,Czech Republic,76,CDM,SK Slavia Praha
H. Burrows,England,74,LB,Sheffield United
K. Demirbay,Germany,74,CDM,Eyüpspor
K. Thorstvedt,Norway,75,CM,Sassuolo
R. Sessegnon,England,75,LB,Fulham FC
P. Schick,Czech Republic,85,ST,Bayer 04 Leverkusen
K. Furuhashi,Japan,75,ST,Birmingham City
L. Johnsen,Norway,73,CM,Malmö FF
Galeno,Brazil,81,LM,Al Ahli SFC
R. Sallai,Hungary,78,RM,Galatasaray SK
Hernani,Brazil,75,CDM,Parma
D. Casiraghi,Italy,72,CM,Südtirol
A. Salétros,Sweden,73,CM,AIK
Joan Jordán,Spain,76,CM,Sevilla FC
F. Coquelin,France,75,CM,FC Nantes
Y. Ayari,Sweden,75,CM,Brighton & Hove Albion
I. Moriba,Guinea,78,CM,RC Celta
E. Alioski,North Macedonia,68,LB,FC Lugano
G. Taylor,Scotland,74,LB,PAOK
Wanderson,Brazil,73,LB,Pohang Steelers
C. Trimmel,Austria,75,RB,1. FC Union Berlin
L. Fernández,Uruguay,78,CAM,Peñarol
A. Onana,Belgium,79,CDM,Aston Villa
A. Bondarenko,Ukraine,77,CAM,Shakhtar Donetsk
D. Vlahović,Serbia,82,ST,Juventus
B. Kamara,France,83,CDM,Aston Villa
B. Nygren,Sweden,73,CM,Celtic
Diego Moreira,Belgium,77,LM,RC Strasbourg Alsace
T. Livramento,England,80,RB,Newcastle United
M. Gusto,France,79,RB,Chelsea
E. Elmas,North Macedonia,77,LM,Napoli
Y. Candelo,Colombia,71,RM,América de Cali
F. Miretti,Italy,74,CM,Juventus
Y. Gerhardt,Germany,75,CM,VfL Wolfsburg
M. Bulat,Croatia,69,CM,Raków Częstochowa
R. Jiménez,Mexico,77,ST,Fulham FC
C. Nielsen,Denmark,70,CDM,Standard de Liège
Víctor Gómez,Spain,76,RB,Sporting Clube de Braga
Z. El Ouahdi,Morocco,76,RB,KRC Genk
T. Holeš,Czech Republic,76,CB,SK Slavia Praha
J. Ekkelenkamp,Netherlands,74,CM,Udinese
J. Cullen,Republic of Ireland,76,CDM,Burnley
L. Trossard,Belgium,83,LW,Arsenal
Adrià Pedrosa,Spain,75,LB,Elche CF
F. Myhre,Norway,74,CM,SK Brann
M. Tavernier,England,76,LM,AFC Bournemouth
C. Casadei,Italy,74,CM,Torino
C. Nkunku,France,81,CAM,AC Milan
M. Hongla,Cameroon,71,CM,Granada CF
G. Gudmundsson,Sweden,77,LB,Leeds United
Pedro Neto,Portugal,80,RM,Chelsea
B. Osayi-Samuel,Nigeria,76,RB,Birmingham City
M. Almirón,Paraguay,76,RW,Atlanta United
J. Beste,Germany,76,LM,SC Freiburg
E. Pérez,Argentina,74,CDM,River Plate
J. Quiñones,Mexico,80,ST,Al Qadsiah FC
Luis Henrique,Brazil,78,RM,Inter
Fábio Martins,Portugal,76,LM,Al Hazem FC
J. Timber,Netherlands,82,RB,Arsenal
R. Doan,Japan,82,RM,Eintracht Frankfurt
A. Fulgini,France,73,CAM,Al Taawoun FC
T. Souček,Czech Republic,78,CDM,West Ham United
Yan Couto,Brazil,77,RB,Borussia Dortmund
K. Kampl,Slovenia,77,CM,RB Leipzig
C. Hudson-Odoi,England,78,LM,Nottingham Forest
R. Steffen,Switzerland,75,RW,FC Lugano
G. Rojas,Argentina,74,LM,Racing Club
V. Janelt,Germany,76,CM,Brentford
M. Leckie,Australia,70,CM,Melbourne City FC
Z. Flemming,Netherlands,73,ST,Burnley
O. Kemen,Cameroon,72,CM,Medipol Başakşehir FK
João Moutinho,Portugal,77,CM,Sporting Clube de Braga
L. Baker,England,70,CM,Stoke City
F. Dele-Bashiru,Nigeria,73,CAM,Lazio
I. Schranz,Slovakia,73,LM,SK Slavia Praha
J. Kluivert,Netherlands,79,CAM,AFC Bournemouth
L. Menossi,Argentina,73,CM,Belgrano de Córdoba
Álex Moreno,Spain,77,LB,Girona FC
F. Colidio,Argentina,76,ST,River Plate
D. Bisoli,Italy,72,CM,Cesena FC
Reinildo,Mozambique,79,LB,Sunderland
J. Akpa Akpro,Ivory Coast,72,CM,Hellas Verona FC
David Neres,Brazil,81,LW,Napoli
N. Oroz,Argentina,73,CM,Argentinos Juniors
Santi Cazorla,Spain,75,CAM,Real Oviedo
J. Aribo,Nigeria,73,CM,Southampton
B. Verstraete,Belgium,71,CM,Oud-Heverlee Leuven
B. Embolo,Switzerland,77,ST,Stade Rennais FC
D. Undav,Germany,80,ST,VfB Stuttgart
G. Abrego,Argentina,72,CM,Godoy Cruz
N. Zortea,Italy,74,RM,Bologna
D. Huijsen,Spain,82,CB,Real Madrid
Heberto Gaúcho,Brazil,80,CB,Atlético Mineiro
A. Vidal,Chile,73,CM,Colo-Colo
D. Sánchez,Colombia,82,CB,Galatasaray SK
Leonardo Lopes,Portugal,70,CM,KAA Gent
M. Rojas,Paraguay,74,RW,Portland Timbers
A. Murillo,Panama,76,RB,Olympique de Marseille
R. Schoofs,Belgium,76,CM,Union Saint-Gilloise
K. Diks,Indonesia,74,CB,Borussia Mönchengladbach
A. Vranckx,Belgium,74,CM,Sassuolo
Marco Asensio,Spain,80,RW,Fenerbahçe SK
M. Kanno,Saudi Arabia,72,CM,Al Hilal
Murillo,Brazil,83,CB,Nottingham Forest
Mario Gila,Spain,79,CB,Lazio
F. Mladenović,Serbia,72,LB,Panathinaikos FC
D. Welbeck,England,78,ST,Brighton & Hove Albion
R. Flamingo,Netherlands,77,CB,PSV
André Silva,Portugal,76,ST,Elche CF
H. Diarra,Senegal,77,CM,Sunderland
A. Laurienté,France,80,LW,Sassuolo
Hong Hyeon Seok,South Korea,73,CAM,FC Nantes
Marc Roca,Spain,78,CDM,Real Betis Balompié
M. Köhlert,Germany,72,LB,Brøndby IF
Y. Yotún,Peru,70,CM,Sporting Cristal
S. Horvath,Austria,72,CM,LASK Linz
S. El Shaarawy,Italy,79,LM,Roma
A. Elanga,Sweden,81,RW,Newcastle United
A. Sørloth,Norway,84,ST,Atlético Madrid
Cadu,Brazil,74,LM,Ferencvárosi Torna Club
M. Zajc,Slovenia,72,CM,Dinamo Zagreb
A. Dedić,Bosnia and Herzegovina,74,RB,SL Benfica
Francho Serrano,Spain,72,CM,Real Zaragoza
N. Estévez,Argentina,71,CDM,Parma
C. Rodríguez,Mexico,76,CAM,
V. Buyalskyi,Ukraine,76,CAM,Dynamo Kyiv
J. Garner,England,76,CDM,Everton
A. Lescano,Argentina,73,CM,Argentinos Juniors
Lekue,Spain,75,RB,Athletic Club
J. Clasie,Netherlands,79,CDM,AZ Alkmaar
K. Kairinen,Finland,75,CM,Sparta Praha
Juan Miranda,Spain,76,LB,Bologna
H. Wilson,Wales,76,RM,Fulham FC
Gonçalo Ramos,Portugal,80,ST,Paris Saint-Germain
G. Busio,United States,74,CM,Venezia
P. Kalulu,France,80,CB,Juventus
Melero,Spain,72,CM,CD Leganés
A. Grønbæk,Denmark,74,CAM,Genoa
D. Mihailovic,United States,75,CAM,Toronto FC
V. Rosier,France,77,RB,CA Osasuna
V. Sierro,Switzerland,75,CM,Al Shabab
H. Barnes,England,80,LW,Newcastle United
A. Adli,Morocco,78,ST,AFC Bournemouth
Moi Gómez,Spain,77,CM,CA Osasuna
Italo,Brazil,70,CM,Jeju United FC
J. Stones,England,82,CB,Manchester City
J. Weigl,Germany,78,CDM,Al Qadsiah FC
N. El Aynaoui,Morocco,77,CM,Roma
Paik Seung Ho,South Korea,72,CDM,Birmingham City
Carlos Romero,Spain,75,LB,RCD Espanyol
M. Matviienko,Ukraine,77,CB,Shakhtar Donetsk
M. Munetsi,Zimbabwe,76,CM,Wolverhampton Wanderers
André Almeida,Portugal,75,CAM,Valencia CF
J. Laurent,England,73,CDM,Burnley
D. Calabria,Italy,78,RB,Panathinaikos FC
D. Malen,Netherlands,79,RM,Aston Villa
A. Abdi,Tunisia,76,LB,OGC Nice
M. Núñez,Chile,73,CM,Ipswich Town
Ricardo Pereira,Portugal,74,RB,Leicester City
S. Berghuis,Netherlands,78,RW,Ajax
M. Svanberg,Sweden,76,CM,VfL Wolfsburg
D. Schmid,Switzerland,74,LB,FC Basel 1893
P. Aaronson,United States,75,CM,Colorado Rapids
R. Del Castillo,France,76,RW,Stade Brestois 29
S. Hezze,Argentina,78,CDM,Olympiacos FC
Antonio Sánchez,Spain,73,RM,RCD Mallorca
T. Morton,England,74,CDM,Olympique Lyonnais
M. Ritter,Germany,71,CAM,1. FC Kaiserslautern
Jonathan Viera,Spain,72,CAM,UD Las Palmas
E. Demirović,Bosnia and Herzegovina,80,ST,VfB Stuttgart
Mauri Borgho,Brazil,74,RB,São Paulo
D. Jurásek,Czech Republic,73,LB,Beşiktaş JK
T. Fruk,Croatia,75,CAM,
Azpilicueta,Spain,78,CB,Sevilla FC
Aimar Oroz,Spain,77,CM,CA Osasuna
Amad,Ivory Coast,79,CAM,Manchester United
S. Özcan,Turkey,75,CDM,Borussia Dortmund
L. Melgarejo,Paraguay,74,LW,Libertad
F. Onyeka,Nigeria,74,CM,Brentford
K. Yıldız,Turkey,79,CAM,Juventus
N. Zalewski,Poland,76,LM,Atalanta
B. Dia,Senegal,80,ST,Lazio
M. Bakker,Netherlands,75,LB,Atalanta
S. Rodríguez,Uruguay,75,CM,Universidad de Chile
B. Acosta,Honduras,70,CM,Nashville SC
J. Mateta,France,82,ST,Crystal Palace
J. David,Canada,82,ST,Juventus
I. Gueye,Senegal,79,CDM,Everton
B. Šeško,Slovenia,80,ST,Manchester United
D. Nistor,Romania,72,CAM,Universitatea Cluj
A. Dovbyk,Ukraine,83,ST,Roma
J. Bacuna,Curaçao,69,CDM,Gaziantep FK
N. Fernández,Uruguay,71,CM,Godoy Cruz
I. Sangaré,Ivory Coast,77,CDM,Nottingham Forest
C. Holse,Denmark,74,CAM,Samsunspor
A. Beck,Germany,73,CM,1. FC Heidenheim 1846
Marc Casadó,Spain,79,CDM,FC Barcelona
C. O'Hare,England,73,CAM,Sheffield United
M. Rygaard,Denmark,71,CAM,BK Häcken
Sergi Cardona,Spain,79,LB,Villarreal CF
A. Čerin,Slovenia,74,CM,Panathinaikos FC
O. Pikhalyonok,Ukraine,75,CM,Dynamo Kyiv
J. Deminguet,France,72,CM,FC Metz
Olasagasti,Spain,74,CM,Levante UD
F. Ortega,Argentina,73,LB,Olympiacos FC
Álex Muñoz,Spain,73,LB,UD Almería
J. Vardy,England,76,ST,Cremonese
T. Suslov,Slovakia,72,CAM,Hellas Verona FC
F. Bandinelli,Italy,70,CM,Spezia
Z. Debast,Belgium,78,CDM,Sporting CP
O. Boscagli,France,79,CB,Brighton & Hove Albion
H. Mukhtar,Germany,79,CAM,Nashville SC
C. Bradley,Northern Ireland,78,RB,Liverpool
R. Kolo Muani,France,81,ST,Tottenham Hotspur
L. Hernández,France,81,CB,Paris Saint-Germain
F. Sotoca,France,75,ST,RC Lens
S. Giménez,Mexico,79,ST,AC Milan
Dani Tasende,Spain,70,LB,Real Zaragoza
C. Lykogiannis,Greece,73,LB,Bologna
Matheus Reis,Brazil,77,CB,Sporting CP
E. Reynoso,Argentina,77,CAM,Talleres
T. Krauß,Germany,75,CDM,1. FC Köln
L. Bailey,Jamaica,79,RM,Roma
G. Kyriakopoulos,Greece,74,LB,Panathinaikos FC
L. Görtler,Germany,72,CM,FC St.Gallen 1879
M. Sangaré,Mali,72,CM,RC Lens
Dinei Dellarmi,Brazil,71,RW,Corinthians
O. Aydın,Turkey,77,LW,Fenerbahçe SK
T. Valls,France,72,CM,Grenoble Foot 38
J. Ayew,Ghana,73,RM,Leicester City
V. Tsygankov,Ukraine,79,RM,Girona FC
Ricardo Mangas,Portugal,74,LM,Sporting CP
P. Aubameyang,Gabon,81,ST,Olympique de Marseille
W. Hughes,England,77,CDM,Crystal Palace
A. Grgić,Switzerland,71,CDM,FC Lugano
D. Toköz,Turkey,71,CM,Kayserispor
A. Mowatt,England,73,CDM,West Bromwich Albion
Y. Neyou,Cameroon,75,CM,Getafe CF
A. Bouzat,Argentina,74,CDM,Vélez Sarsfield
T. Minamino,Japan,78,LM,AS Monaco
A. Dreyer,Denmark,77,RW,San Diego FC
H. Traoré,Ivory Coast,77,LM,Olympique de Marseille
N. O'Reilly,England,73,LB,Manchester City
D. Gómez,Paraguay,73,CM,Brighton & Hove Albion
A. Kadri,Algeria,73,CM,KAA Gent
Y. Wissa,DR Congo,82,ST,Newcastle United
P. Mantalos,Greece,75,CAM,AEK Athens
E. Millot,France,78,CAM,Al Ahli SFC
Javi Muñoz,Spain,76,CM,Getafe CF
Iñigo Córdoba,Spain,71,LM,Burgos CF
L. O'Nien,England,72,CB,Sunderland
A. Duncan,Ghana,72,CM,Venezia
L. Ivanušec,Croatia,72,LW,PAOK
Mario Hermoso,Spain,80,CB,Roma
U. Saltnes,Norway,72,CM,FK Bodø/Glimt
J. Guðmundsson,Iceland,71,RM,
D. Man,Romania,76,RW,PSV
Terrats,Spain,77,CM,RCD Espanyol
J. Cisotti,Italy,71,CM,FCSB
Ricardo Esgaio,Portugal,73,RB,Fatih Karagümrük
R. McGree,Australia,72,LM,Middlesbrough
A. Bernede,France,72,CM,Hellas Verona FC
M. Araújo,Uruguay,77,LM,Sporting CP
F. Vázquez,Argentina,74,ST,Cremonese
W. Cyprien,France,69,CDM,Changchun Yatai
J. Milner,England,73,CM,Brighton & Hove Albion
Danilo Pereira,Portugal,81,CB,Al Ittihad
A. El Mahdioui,Netherlands,78,CDM,Al Taawoun FC
Mateus Fernandes,Portugal,76,CAM,West Ham United
P. De la Vega,Argentina,74,RM,Seattle Sounders FC
C. Baeza,Chile,73,CDM,Vélez Sarsfield
L. Geertruida,Netherlands,78,CB,Sunderland
R. Hollingshead,United States,72,LB,Los Angeles FC
Oberdan,Brazil,75,CDM,Pohang Steelers
S. Molina,Italy,70,RB,Südtirol
S. Kolašinac,Bosnia and Herzegovina,79,CB,Atalanta
A. Fatawu,Ghana,76,RM,Leicester City
Hwang In Beom,South Korea,77,CM,Feyenoord
J. Recoba,Uruguay,71,LW,UD Las Palmas
T. Horvat,Slovenia,73,CM,SK Sturm Graz
R. Lavia,Belgium,78,CDM,Chelsea
Moncayola,Spain,78,CM,CA Osasuna
R. Lod,Finland,73,CM,Minnesota United FC
D. Lukébakio,Belgium,82,RM,SL Benfica
Bartra,Spain,79,CB,Real Betis Balompié
Jeong Seung Won,South Korea,71,CM,FC Seoul
Í. Jóhannesson,Iceland,73,CM,1. FC Köln
E. Kayembe,DR Congo,71,CM,Watford
R. Raveloson,Madagascar,71,CM,BSC Young Boys
A. Caci,France,78,RB,1. FSV Mainz 05
L. Bittencourt,Germany,73,CAM,SV Werder Bremen
Ko Seung Beom,South Korea,71,CM,Ulsan HD FC
Germano Cuba,Brazil,74,LB,Palmeiras
D. Sorescu,Romania,72,RM,Gaziantep FK
A. Vega,Mexico,78,LW,
A. Nájar,Honduras,72,RB,Nashville SC
Maikel Catarino,Brazil,80,RB,Corinthians
J. Bamba,Ivory Coast,77,LM,Chicago Fire
A. Doughty,England,74,LB,Millwall FC
B. Nieuwkoop,Netherlands,74,RB,Feyenoord
André,Brazil,78,CDM,Wolverhampton Wanderers
K. Diatta,Senegal,74,RM,AS Monaco
Balde,Spain,83,LB,FC Barcelona
M. Tramoni,France,74,CAM,Pisa
G. Fabbian,Italy,74,CM,Bologna
A. Scott,England,74,CAM,AFC Bournemouth
G. Oristanio,Italy,74,CAM,Parma
R. Onyedika,Nigeria,77,CDM,Club Brugge KV
A. Danjuma,Netherlands,75,LM,Valencia CF
D. Ljubičić,Austria,73,CM,Dinamo Zagreb
Pascoal Muscato,Brazil,75,CDM,Bahia
Junior Firpo,Dominican Republic,75,LB,Real Betis Balompié
Pacha Espino,Uruguay,74,LB,Rayo Vallecano
K. Mrabti,Sweden,74,CAM,KV Mechelen
A. Skov Olsen,Denmark,77,RW,VfL Wolfsburg
J. Mæhle,Denmark,78,LB,VfL Wolfsburg
J. Arias,Colombia,78,RW,Wolverhampton Wanderers
A. Șut,Romania,72,CDM,FCSB
G. Honeyman,England,71,CAM,Blackpool FC
M. Borja,Colombia,76,ST,River Plate
S. Szmodics,Republic of Ireland,74,CAM,Ipswich Town
Gelson Martins,Portugal,78,RM,Olympiacos FC
M. Terrier,France,79,ST,Bayer 04 Leverkusen
Aarón Martín,Spain,74,LB,Genoa
C. Adams,Scotland,77,ST,Torino
João Pedro,Brazil,79,ST,Chelsea
O. Sørensen,Denmark,73,CM,Parma
J. Knight,Republic of Ireland,73,CM,Bristol City
J. Nardoni,Argentina,75,CM,Racing Club
G. Shinnie,Scotland,70,CDM,Aberdeen
Pablo Martínez,Spain,73,LM,Levante UD
Lamine Yamal,Spain,89,RM,FC Barcelona
E. Piovi,Argentina,72,CDM,Estudiantes de La Plata
Santi Comesaña,Spain,78,CM,Villarreal CF
Unai Vencedor,Spain,71,CDM,Levante UD
H. Lozano,Mexico,78,LW,San Diego FC
